from	to	num_distinct_user
ECPay	ECPay thong bao: Tien dien T6/2018 cua Ma KH PD0100T48196, la 1.095.937VND. Truy cap www.ecpay.vn hoac lien he 1900561230 de biet them chi tiet.	11604
ECPay	ECPay thong bao, Tien dien T06/2018 ma KH PA25VYNTD0052 la: 680,999 VND.	11604
ECPay	ECPay thong bao, Tien dien T06/2018 ma KH PD24008551278 la: 1,201,908 VND.	11604
Techcombank	TK 19032158469014 So tien GD:+232,000 So du:10,686,180 E H.A va V.A gui tien dien nuoc	5973
Techcombank	TK 19028741920029 So tien GD:-529,000 So du:6,061,339 Tien dien nuoc	5973
Techcombank	TK 19029930772010 So tien GD:-328,524 So du:1,256,699 Thanh toan hoa don tien dien Ma so KH PE08000181985 So tien thanh toan 328524 VND	5973
Techcombank	TK 19029387232019 So tien GD:-758,665 So du:35,812,303 PD13000116457, LE BA TIEN THANH TOA N TIEN DIEN T6/2018, ST 758,665 VND , HD:1118066898	5973
Techcombank	TK 19028691377027 So tien GD:+9,000,000 So du:14,546,627 LE XUAN QUANG DONG TIEN DIEN PHAM NGOC ANH THU SO TIEN NOP 9000000.	5973
Techcombank	TK 19032252208011 So tien GD:-1,970,000 So du:70,210,613 Dong tien dien nuoc phong601 nha 23 dong cac	5973
Techcombank	TK 11620874724017 So tien GD:-353,049 So du:265,802 PD30000205418, CHU THE SU THANH TOA N TIEN DIEN T6/2018, ST 353,049 VND , HD:1118626070	5973
Techcombank	TK 19030626847886 So tien GD:-127,435 So du:476,145 PB06030064747,THIEU THI NGOC thanh toan tien dien ky 1 thang 6	5973
Techcombank	TK 19027520383014 So tien GD:-173,195 So du:4,930,018 PD30000071568, TA V SON THANH TOAN TIEN DIEN T6/2018, ST 173,195 VND, HD: 1119299324	5973
Techcombank	TK 19027520383014 So tien GD:-142,696 So du:4,787,322 PD30000071571, NGUYEN THI HANH THANH TOAN TIEN DIEN T6/2018, ST 142,696 VND, HD: 1119963843	5973
Vietcombank	SD TK 0221000037210 +15,000,000VND luc 10-06-2018 21:02:43. SD 15,798,645VND. Ref 785181.100618.210323.Tien dien thang 6	2835
Vietcombank	SD TK 0081000199652 -41,959,390VND luc 13-06-2018 14:29:48. SD 5,584,787,627VND. Ref CT CP DT KT PVD TT TIEN DIEN KY1 T6.2018 MA KH PB 15010048640,150100576...	2835
Vietcombank	SD TK 0301000331059 +360,000VND luc 13-06-2018 20:02:24. SD 7,419,678VND. Ref 651551.130618.200217.Tien dien nuoc	2835
Vietcombank	SD TK 0061001030240 +2,000,000VND luc 02-06-2018 17:40:45. SD 2,050,090VND. Ref IBVCB.0206180389999001.Chuyen tien dien cong trinh t6 Radission	2835
Vietcombank	SD TK 0491000075970 +1,900,000VND luc 13-06-2018 14:00:05. SD 2,468,079VND. Ref 801192.130618.140051.Tien dien thang 6, 7	2835
Vietcombank	SD TK 0711000280495 -3,223,134VND luc 08-06-2018 09:06:37. SD 13,112,530VND. Ref IBVCB.0806180856086001.XUONG GO V6 THANH TOAN TIEN DIEN THANG 5/2018	2835
Vietcombank	SD TK 0011004139087 -3,360,500VND luc 11-06-2018 13:10:11. SD 295,376,925VND. Ref TIEN DIEN + DV	2835
Vietcombank	SD TK 0311000698011 -157,700VND luc 11-06-2018 22:23:41. SD 1,418,693VND. Ref IBVCB.MBVCB57041813.tien dien nuoc thang 6.CT tu 0311000698011 toi 22210001061...	2835
Vietcombank	SD TK 0011004357359 -708,829VND luc 06-06-2018 16:14:48. SD 193,374,671VND. Ref IBVCB.0606180022605006.423,424 thanh toan tien dien thang 04.2018	2835
Vietcombank	SD TK 0101000026073 +6,613,914VND luc 04-06-2018 11:00:08. SD 2,027,488,711VND. Ref /Ref:P001.4222113{//}/Ref:P001.4222113{//}VIB HUNG DUNG TT TIEN DIEN T5 ...	2835
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA050527 s.dung 184kWh chi so ck 10334 tong thanh toan 344874 Tra cuu HD tai https:sinvoice.viettel.vn/tra	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA050160 s.dung 116kWh chi so ck 4863 tong thanh toan 205896 Tra cuu HD tai https:sinvoice.viettel.vn/trac	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA040199 s.dung 196kWh chi so ck 1281 tong thanh toan 369400 Tra cuu HD tai https:sinvoice.viettel.vn/trac	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA050522 s.dung 193kWh chi so ck 7510 tong thanh toan 363268 Tra cuu HD tai https:sinvoice.viettel.vn/trac	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA040228 s.dung 214kWh chi so ck 8305 tong thanh toan 413611 Tra cuu HD tai https:sinvoice.viettel.vn/trac	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA040286 s.dung 283kWh chi so ck 27019 tong thanh toan 591217 Tra cuu HD tai https:sinvoice.viettel.vn/tra	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA050191 s.dung 250kWh chi so ck 5402 tong thanh toan 506275 Tra cuu HD tai https:sinvoice.viettel.vn/trac	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA040261 s.dung 251kWh chi so ck 14905 tong thanh toan 508849 Tra cuu HD tai https:sinvoice.viettel.vn/tra	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA020456 s.dung 11kWh chi so ck 1997 tong thanh toan 18743 Tra cuu HD tai https:sinvoice.viettel.vn/tracuu	1001
DLBINHXUYEN	Tien dien thang 06/2018 KH: BA050429 s.dung 252kWh chi so ck 3558 tong thanh toan 511423 Tra cuu HD tai https:sinvoice.viettel.vn/trac	1001
ACB	ACB: TK 245115619(VND) + 3,000,000 luc 14:36 13/06/2018. So du 3,160,947.GD: DINH THI TRUC GIANG-TC:VNCN018071.TIEN TAM UNG CO2 VA THANH TOAN TIEN DIEN .	759
ACB	ACB: TK 147607209(VND) + 6,895,000 luc 14:13 05/06/2018. So du 7,009,058.GD: TONG HOANG PHUC CK, IBTONG HOANG PHUC TIEN DIEN 2 PHA VA TIEN LAM THOI HIEN 5TR	759
ACB	ACB: TK 193200579(VND) - 37,092,000 luc 14:58 04/06/2018. So du 23,446,625.GD: CK cho LE THI THAM, VCB HCM, IBTIEN HA 37,800 - 288 TIEN DIEN - 420 THUE = 37,092	759
ACB	ACB: TK 235340709(VND) - 765,446 luc 09:10 14/06/2018. So du 8,220,572.GD: CK cho TK 198987879_CTY CP DV TRUC TUYEN CONG DONG VIET, Thu ho tien DIEN ky  06/2018	759
ACB	ACB: TK 122889739(VND) - 12,559,764 luc 13:51 05/06/2018. So du 227,473,880.GD: 933_4276758_CT NH TM CO PHAN VIET A CHI NHANH SAI GON,THANH TOAN TIEN DIEN THANG	759
ACB	ACB: TK 208294399(VND) - 1,000,000 luc 12:51 09/06/2018. So du 15,453,174.GD: CK cho TK 155939559_TRAN THI HUYEN, IBNGUYEN NGOC SON TIEN DIEN NUOC	759
ACB	ACB: TK 190993609(VND) - 3,969,423 luc 11:33 01/06/2018. So du 65,584,938.GD: CK cho DIEN LUC DI AN, An Binh CN Binh Duong, IBTHANH TOAN TIEN DIEN THANG 05/2018	759
ACB	ACB: TK 135435689(VND) - 1,200,000 luc 15:42 08/06/2018. So du 16,794,713.GD: CK cho TK 181977229_PHAN MINH MAN, IBDAO LUONG HONG NHUNG TRA TIEN DIEN NUOC CTR Q	759
ACB	ACB: TK 969969968(VND) - 2,500,000 luc 15:47 04/06/2018. So du 113,136,650.GD: CK cho TA QUANG SON, VCB CN Ha Noi, IBTIEN DIEN THANG 5	759
ACB	ACB: TK 194964489(VND) - 355,093 luc 09:10 14/06/2018. So du 124,645.GD: CK cho TK 198987879_CTY CP DV TRUC TUYEN CONG DONG VIET, Thu ho tien DIEN ky  06/2018 c	759
VPBank	TK 73903173 tai VPB giam 1,116,781VND do Can 1906 101 dong tien dien thang 5 nam 2018. So du TK sau GD la 16,860,648VND	704
VPBank	TK 105450907 tai VPB giam 369,400VND do THANH TOAN HOA DON TIEN DIEN 180710 SO TIEN 369400 KHACH HANG PE16000249299 - DUONG TH... So du TK sau GD la 182,229VND	704
VPBank	TK 137973545 tai VPB giam 1,400,000VND do Em Phung gui tien dien nuoc. So du TK sau GD la 480,023VND	704
VPBank	TK 27233888 tai VPB giam 1,617,248VND do TT TIEN DIEN T6 CHO MKH:PD03T413596 - CONG TY DIEN LUC BA DINH. So du TK sau GD la 31,156,615VND	704
VPBank	TK 52451288 tai VPB giam 1,141,160VND do TT TIEN DIEN T6.2018 CHO MA KHACH HANG PD03T413583 - CONG TY DIEN LUC BA DINH. So du TK sau GD la 117,361,694VND	704
VPBank	TK 107992464 tai VPB tang 220,000VND do Tien dien nc. So du TK sau GD la 248,596VND	704
VPBank	TK 53825238 tai VPB tang 47,000,000VND do Tien dien thang 4 + 5 ( tung ). So du TK sau GD la 47,582,517VND	704
VPBank	TK 139388388 tai VPB giam 218,683,344VND do Thanh toan tien dien ky 1 thang 06/2018. So du TK sau GD la 1,778,289,390VND	704
VPBank	TK 123047869 tai VPB tang 424,000VND do Gia Linh thanh toan tien dien thang 4 HB Me Linh. So du TK sau GD la 1,538,077VND	704
VPBank	TK 125188958 tai VPB giam 3,902,000VND do Loan tang 2 phong trong 53 C dong t ien nha T6 va 7 tien dien nuoc tha ng 5. So du TK sau GD la 70,372,802VND	704
EXIMBANK	EIB PHAN XICH LONG TK 220614849144240 04/06/18 19:59 THANH TOAN TIEN DIEN - DIEN LUC HCM, MA KH  PE04000189422 544,885VND SD 15,043,195VND	529
EXIMBANK	EIB VO VAN TAN TK 220814851333888 05/06/18 16:47 YASUDA ENGINEERING CO., LTD .THANH TOAN TIEN DIEN THANG 05/2 12,981,600VND SD 240,238,029VND	529
EXIMBANK	EIB VO VAN TAN TK 220814851333888 05/06/18 16:44 YASUDA ENGINEERING CO., LTD . THANH TOAN TIEN DIEN THANG 05/ 12,592,500VND SD 266,641,629VND	529
EXIMBANK	EIB CAU GIAY TK 170414851002220 14/06/18 10:44 EIB NGUYEN PHONG SAC TT TIEN DIEN T5/2018 THEO HOA DON 00003 10,793,719VND SD 24,777,071VND	529
EXIMBANK	EIB THU DUC TK 180214849226706 07/06/18 12:17 THANH TOAN TIEN DIEN - DIEN LUC HCM, MA KH  PE16000300111 597,777VND SD 65,444,892VND	529
EXIMBANK	EIB TAN DINH TK 140014849298453 04/06/18 17:35 THANH TOAN TIEN DIEN - DIEN LUC HCM, MA KH  PE16000307254 85,307VND SD 20,294,642VND	529
EXIMBANK	EIB AN SUONG TK 140814849190568 06/06/18 13:20 THANH TOAN TIEN DIEN - DIEN LUC HCM, MA KH  PE06000179466 344,874VND SD 1,318,319VND	529
EXIMBANK	EIB THU DUC TK 180214849054246 09/06/18 07:21 THANH TOAN TIEN DIEN - DIEN LUC HCM, MA KH  pe10000130486 197,721VND SD 436,180VND	529
EXIMBANK	EIB QUAN 7 TK 140314949036609 08/06/18 12:36 THANH TOAN TIEN DIEN - DIEN LUC HCM, MA KH  PE05000059544 890,984VND SD 54,023,964VND	529
EXIMBANK	EIB QUAN 7 TK 140314949036609 08/06/18 12:38 THANH TOAN TIEN DIEN - DIEN LUC HCM, MA KH  PE05000104061 529,441VND SD 53,494,523VND	529
PVcomBank	Quy khach da thanh toan thanh cong ma: PD16000000032, Dich vu: Tien dien (EVN), So tien: 998,774 VND. LH: 1900555592	95
PVcomBank	TK: 102000162476(VND).- 1,160,313. SD: -93,785,984. Luc: 09:51 12/06/2018. ND: MA KH PD12000007410 DONG TIEN DIEN T5/2018 tu 09/0.... LH: 1900555592	95
PVcomBank	TK: 105000459396(VND).- 235,663,977. SD: 2,168,167. Luc: 14:01 07/06/2018. ND: Thanh toan tien dien PE08000052480/29RA460DA/33830.... LH: 1900555592	95
PVcomBank	Quy khach da thanh toan thanh cong ma: PE14000030546, Dich vu: Tien dien (EVN), So tien: 2,763,320 VND. LH: 1900555592	95
PVcomBank	Quy khach da thanh toan thanh cong ma: PE14000030524, Dich vu: Tien dien (EVN), So tien: 295,823 VND. LH: 1900555592	95
PVcomBank	Quy khach da thanh toan thanh cong ma: PE14000196473, Dich vu: Tien dien (EVN), So tien: 102,795 VND. LH: 1900555592	95
PVcomBank	Quy khach da thanh toan thanh cong ma: PC03BB0146870, Dich vu: Tien dien (EVN), So tien: 357,137 VND. LH: 1900555592	95
PVcomBank	TK: 103068168888(VND).- 448,580. SD: -114,594,559. Luc: 18:36 07/06/2018. ND: PD16000180264 tien dien T5 01682699 862 448580d. LH: 1900555592	95
PVcomBank	TK: 104000174870(VND).+ 1,250,000. SD: 4,925,903. Luc: 11:14 14/06/2018. ND: Tran Thi Thanh Mai - Ke toanThanh toan tien dien t.... LH: 1900555592	95
PVcomBank	Quy khach da thanh toan thanh cong ma: PC03BB0145311, Dich vu: Tien dien (EVN), So tien: 408,463 VND. LH: 1900555592	95
vnEdu	Truong mam non Bach Long thong bao: Cac d/c GV luu y tiet kiem khi su dung thiet bi dien cua nhom lop minh vi hoa don tien dien cua nh	86
vnEdu	Truong mam non Bach Long thong bao: Cac d/c GV luu y tiet kiem khi su dung thiet bi dien cua nhom lop minh vi hoa don tien dien cua nh	86
vnEdu	Truong mam non Bach Long thong bao: Cac d/c GV luu y tiet kiem khi su dung thiet bi dien cua nhom lop minh vi hoa don tien dien cua nh	86
vnEdu	Truong mam non Bach Long thong bao: Cac d/c GV luu y tiet kiem khi su dung thiet bi dien cua nhom lop minh vi hoa don tien dien cua nh	86
vnEdu	tien nop on hai mon la 1 thang 300.000d, hoc 1 thang ruoi nop 450.000. Tien dien 45.000. Tien nuoc 45.000. Tieng Anh on thu ba, thu n	86
vnEdu	tien nop on hai mon la 1 thang 300.000d, hoc 1 thang ruoi nop 450.000. Tien dien 45.000. Tien nuoc 45.000. Tieng Anh on thu ba, thu n	86
vnEdu	Truong mam non Bach Long thong bao: Cac d/c GV luu y tiet kiem khi su dung thiet bi dien cua nhom lop minh vi hoa don tien dien cua nh	86
vnEdu	Da gui danh sach lop va TKB day he tren Zalo, cac thay co xem de thuc hien cho dung. LUU Y: de buoi hoc dau tien dien ra thuan loi, HS	86
vnEdu	Truong mam non Bach Long thong bao: Cac d/c GV luu y tiet kiem khi su dung thiet bi dien cua nhom lop minh vi hoa don tien dien cua nh	86
vnEdu	tien nop on hai mon la 1 thang 300.000d, hoc 1 thang ruoi nop 450.000. Tien dien 45.000. Tien nuoc 45.000. Tieng Anh on thu ba, thu n	86
LAZADA.VN	Thu tuc hoan tien cho don hang # 203191273712037 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 202610612494042 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 202891170656721 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 202907997756598 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 202894612721046 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 203497957158526 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 203313149810022 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 203347315340379 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 202980267468966 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
LAZADA.VN	Thu tuc hoan tien cho don hang # 203589569656637 da hoan tat. Ma tien dien tu se duoc hoan lai trong vong 1 ngay lam viec. Vui long ki	70
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 17/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 17/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 17/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 17/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 17/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 17/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 17/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 17/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 27/5/2018	19
HaLong.IES	(Thong bao Lan 2) De dam bao cung cap dien lien tuc, Cty Ha Long IES de nghi Quy Khach hang thanh toan tien dien su dung tu 7/6/2018 d	19
IVB	TK 3319689-002 tai IVB giam(-) 1,000 VND luc 12/06/18 13:25. SDC: 128,037,855 VND. ND: CT:CN CTY TNHH MTV DIEN LUC HP-DL AN DUONG:TIEN DIEN (KY 1 THANG	17
IVB	TK 3319689-002 tai IVB giam(-) 63,003,600 VND luc 12/06/18 13:25. SDC: 128,048,855 VND. ND: CT:CN CTY TNHH MTV DIEN LUC HP-DL AN DUONG:TIEN DIEN (KY 1	17
IVB	TK 3319689-002 tai IVB giam(-) 10,000 VND luc 12/06/18 13:25. SDC: 128,038,855 VND. ND: CT:CN CTY TNHH MTV DIEN LUC HP-DL AN DUONG:TIEN DIEN (KY 1 THAN	17
IVB	TK 6289848-005 tai IVB giam(-) 1,765,513 VND luc 14/06/18 10:02. SDC: 39,309,401 VND. ND: BEN: DIEN LUC HOI AN / THANH TOAN TIEN DIEN KY 1 T06/2018-FT	17
IVB	TK 6289848-005 tai IVB giam(-) 10,000 VND luc 14/06/18 10:02. SDC: 39,299,401 VND. ND: BEN: DIEN LUC HOI AN / THANH TOAN TIEN DIEN KY 1 T06/2018-CHG FT	17
IVB	TK 6289848-005 tai IVB giam(-) 1,000 VND luc 14/06/18 10:02. SDC: 39,298,401 VND. ND: BEN: DIEN LUC HOI AN / THANH TOAN TIEN DIEN KY 1 T06/2018-VAT	17
IVB	TK 6038542-001 tai IVB giam(-) 2,500 VND luc 12/06/18 15:16. SDC: 585,821,122 VND. ND: TT T THUE XUONG T06/2018 & TIEN DIEN HD SO 389 - CTY CP DAU TU P	17
IVB	TK 6038542-001 tai IVB giam(-) 25,000 VND luc 12/06/18 15:16. SDC: 585,823,622 VND. ND: TT T THUE XUONG T06/2018 & TIEN DIEN HD SO 389 - CTY CP DAU TU	17
IVB	TK 6038542-001 tai IVB giam(-) 93,609,076 VND luc 12/06/18 15:16. SDC: 585,848,622 VND. ND: TT T THUE XUONG T06/2018 & TIEN DIEN HD SO 389 - CTY CP DAU	17
IVB	TK 6273657-001 tai IVB tang(+) 3,045,299 VND luc 06/06/18 13:15. SDC: 6,431,782,936 VND. ND: B/O:CTY TNHH MBASE VIET NAM,Thanh toan tien dien thang 05-	17
DL.KESACH	cac diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	ac diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	8 tai cac diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	c diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	8 tai cac diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	018 tai cac diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	c diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	tai cac diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	tai cac diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
DL.KESACH	tai cac diem thu tien dien (Buu dien, Ngan hang) gan nhat. Dien thoai lien he 19001006.	13
VRB	TK 102910009999999-HOANG THI HONG LE -870,848 VND -ND: (IB)  KH PD02T200944 HOANG VAN TUONG THANH TOAN TIEN DIEN THANG 6.2018 CHO CONG	11
VRB	TK 100210000007007-CT TNHH JINYANG MTS VINA -78,616,824 VND -ND: (IB)(CT 24203001-CN Bac Giang) JINYANG MTS VINA TIEN DIEN KY 1 THANG	11
VRB	TK 100210000007007-CT TNHH JINYANG MTS VINA -78,854,952 VND -ND: (IB)(CT 24203001-CN Bac Giang) JINYANG MTS VINA TIEN DIEN KY 2 THANG	11
VRB	TK 100910000005969-CTY TNHH SUNWAY VINA -4,583,020 VND -ND: (IB) CK TT TIEN DIEN T05.2018 MKH PD11000031983-So du:5,682,672 VND	11
VRB	TK 100210000007007-CT TNHH JINYANG MTS VINA -78,854,952 VND -ND: (IB)(CT 24203001-CN Bac Giang) JINYANG MTS VINA TIEN DIEN KY 2 THANG	11
VRB	TK 100210000007007-CT TNHH JINYANG MTS VINA -78,616,824 VND -ND: (IB)(CT 24203001-CN Bac Giang) JINYANG MTS VINA TIEN DIEN KY 1 THANG	11
VRB	TK 104710000001800-TRINH THU HIEN -452,600 VND -ND: (IB247) Can ho T2A 2710 thanh toan tien dien thang 5 2018-So du:23,334,757 VND	11
VRB	TK 202310000001540-NGHIEM THE QUY -4,697,533 VND -ND: (IB) (CT 77203001-nhtmcp ntvn-cn ba ria-vung tau) tien dien va quan ly may-So du:-194,544,708 VND	11
VRB	TK 250110000010190-HOANG THI THOM THO -1,100,000 VND -ND: (IB) CK cho Bao con lan 1 thang 6, co cho them 100k tien dien nop truoc cho	11
VRB	TK 250210000018827-NGUYEN VAN CHUC +1,100,000 VND -ND: (IB) CK cho Bao con lan 1 thang 6, co cho them 100k tien dien nop truoc cho truong-So du:3,063,873 VND	11
EVN.B-DUONG	TB tien dien ky *KY# ; thang 6/2018, ma KH:PB04060051703 DNTT:772.0kWh, tong tien:1 335 551.0D. Quy KH vui long thanh toan trong 5 ngay (LH: 19001006)	48010
EVN.B-DUONG	TB tien dien ky *KY# ; thang 6/2018, ma KH:PB04060045602 DNTT:1 779.0kWh, tong tien:5 019 772.0D. Quy KH vui long thanh toan trong 5 ngay (LH: 19001006)	48010
EVN.B-DUONG	TB tien dien ky *KY# ; thang 6/2018, ma KH:PB04010020460 DNTT:171.0kWh, tong tien:318 305.0D. Quy KH vui long thanh toan trong 5 ngay (LH: 19001006)	48010
EVN.B-DUONG	TB tien dien ky *KY# ; thang 6/2018, ma KH:PB04010064193 DNTT:204.0kWh, tong tien:387 871.0D. Quy KH vui long thanh toan trong 5 ngay (LH: 19001006)	48010
EVN.B-DUONG	TB tien dien ky *KY# ; thang 6/2018, ma KH:PB04010067044 DNTT:244.0kWh, tong tien:490 831.0D. Quy KH vui long thanh toan trong 5 ngay (LH: 19001006)	48010
EVN.B-DUONG	TB tien dien ky *KY# ; thang 6/2018, ma KH:PB04010049050 DNTT:384.0kWh, tong tien:664 620.0D. Quy KH vui long thanh toan trong 5 ngay (LH: 19001006)	48010
EVN.B-DUONG	TB tien dien ky *KY# ; thang 6/2018, ma KH:PB04060033913 DNTT:418.0kWh, tong tien:976 105.0D. Quy KH vui long thanh toan trong 5 ngay (LH: 19001006)	48010
EVN.B-DUONG	TB tien dien ky *KY# ; thang 6/2018, ma KH:PB04060049343 DNTT:814.0kWh, tong tien:2 152 660.0D. Quy KH vui long thanh toan trong 5 ngay (LH: 19001006)	48010
